Sampling data,Temperature (¡æ),Salinity,Turbidity,DIN (¦Ìmol/L),DRP (¦Ìmol/L),Chl a (¦Ìg/L),Synechococcus (ind./mL),Picoeukaryote(ind./mL),Prochlorococcus (ind./mL),Bacteria (ind./mL),Virus,NP (ind./mL),HNF (ind./mL),NEs (ind./mL),POC£¨mg/m3£©
A4D200,16.4699,34.5862,1.9549,15.27,1.06,0.9031809,NA,NA,NA,0.8735,0.160152,1.08,2.15,3.23,26.78931999
A4D500,8.9086,34.4246,2.0655,27.07,1.47,NA,NA,NA,NA,0.87275,0.120626,0.18,0.99,1.17,26.41499329
A4DD,25.3218,34.0906,1.9732,2.04,0.22,35.2992435,1.125654197,3.058484819,1.208403508,2.47875,0.459647,7.54,2.42,9.96,38.03635788
A4DS,30.0714,33.1948,1.9882,0.49,0.06,9.0784732,12.15706533,1.197037146,0.248632303,3.69025,0.302529,5.83,2.87,8.7,33.15195084
A5D200,15.5993,34.5738,1.9246,16.27,1.11,NA,NA,NA,NA,0.76025,0.478537,0.27,1.17,1.44,28.35651588
A5D500,9.0212,34.4216,2.0214,27.11,1.58,NA,NA,NA,NA,0.803,0.221184,0.09,0.81,0.9,27.58199883
A5DD,26.0461,34.005,1.9482,0.64,0.16,31.1598006,3.305579643,3.915080208,2.105138079,3.302,1.441465,8.44,3.59,12.03,41.02405548
A5DS,30.0619,33.1727,1.9555,0.02,0.03,5.1354711,9.455495257,0.818158417,0.304475733,3.701,0.909756,4.93,1.97,6.9,32.67189026
A6D200,14.7143,34.552,1.9676,15.06,1.01,NA,NA,NA,NA,0.8185,0.451029,0.54,1.17,1.71,27.0713501
A6D500,8.6665,34.4202,1.9756,28.03,1.75,NA,NA,NA,NA,0.6515,0.229512,0.45,1.88,2.33,26.84189606
A6DD,25.8688,33.9552,1.9784,0.67,0.14,20.6800894,2.602732144,6.644105262,1.756844197,3.14275,1.191137,8.88,2.87,11.75,42.86318207
A6DS,30.0125,33.2187,2.0094,0.45,0.04,8.6830124,8.401224009,1.153109178,0.391508021,4.5265,0.725969,6.46,4.4,10.86,32.4865799
A7D200,16.0676,34.5891,0.0238,14.52,1.01,NA,NA,NA,NA,0.8525,0.53971,0.18,0.9,1.08,25.33463097
A7D500,8.6419,34.422,0.0235,27.14,1.53,NA,NA,NA,NA,1.1675,NA,0,0.9,0.9,25.40330887
A7DD,23.6984,34.1558,0.0236,0.32,0.12,25.1290234,1.812028708,5.897329794,2.079440217,3.51075,1.842498,9.33,2.87,12.2,32.12418365
A7DS,30.0589,33.2369,0.0237,0.43,0.06,3.8755846,8.241985122,1.235474119,0.428846794,4.84625,0.524083,5.92,3.05,8.97,31.39388275
B4D200,15.4046,34.5673,1.9053,16.81,1.18,NA,NA,NA,NA,1.19875,0.445002,0.54,2.6,3.14,25.60712242
B4D500,8.3728,34.417,1.9828,30.98,1.7,NA,NA,NA,NA,0.759,0.21293,0.09,1.88,1.97,25.95095444
B4DD,27.2635,34.1494,1.904,0.56,0.1,32.3805708,0.543608612,3.278124662,1.126313117,3.0815,1.364019,11.49,5.3,16.79,40.57108307
B4DS,30.1719,33.6963,1.928,0.36,0.02,3.513652,5.683180947,0.823649413,0.267740969,4.527,0.905166,15.97,11.66,27.63,32.34466171
B5D200,16.5541,34.6468,1.9468,10.73,0.78,NA,NA,NA,NA,0.744,0.649536,0.3,1.89,2.19,25.60712242
B5D500,8.1912,34.3816,1.9997,28.98,1.86,NA,NA,NA,NA,0.504,0.192153,0.04,1.17,1.21,25.95095444
B5DD,23.6441,34.3153,1.9431,1.46,0.15,26.6463893,0.521644628,2.855317964,1.044442365,2.21125,0.994009,21.58,6.73,28.31,34.36838531
B5DS,30.2789,33.3995,1.9741,0.45,0.04,3.0812242,4.623418703,1.070744236,0.160062536,3.32325,0.694572,4.93,4.84,9.77,32.34466171
B6D200,15.1753,34.5737,1.9011,14.53,1.04,NA,NA,NA,NA,0.7555,0.290632,0.17,1.79,1.96,23.43497276
B6D500,7.8183,34.3977,1.9712,30.58,1.97,NA,NA,NA,NA,1.1795,0.169038,0.04,0.85,0.89,24.13433647
B6DD,25.157,34.2211,1.8949,1.68,0.16,20.3577029,0.834631405,3.876643235,1.060201524,2.8735,0.532598,5.45,1.12,6.57,36.73084259
B6DS,29.7602,33.516,1.9065,0.36,0.03,2.5129642,5.578852022,1.06525324,0.201135187,3.96375,0.76569,318,376,694,31.50164795
B7D200,16.6507,34.6004,1.9054,16.13,0.86,NA,NA,NA,NA,0.75775,1.463678,0.45,1.21,1.66,22.29696655
B7D500,8.1529,34.4051,1.965,29.87,1.88,NA,NA,NA,NA,0.608,0.276454,0.06,0.85,0.91,22.83825493
B7DD,26.0418,34.2164,1.9275,0.57,0.07,NA,5.084662374,7.121821921,1.548845265,2.81075,1.222915,11.06,3.52,14.58,34.31113815
B7DS,29.7054,33.491,1.941,0.2,0.03,10.6861073,9.131526488,0.960924315,0.173735116,3.9505,1.159899,4.44,3.27,7.71,30.30607605
B8D200,16.3043,34.6035,1.8887,14.02,0.99,0.6641409,NA,NA,NA,1.11175,0.631667,0.36,1.92,2.28,20.90527916
B8D500,8.6803,34.404,1.9684,27.88,1.78,NA,NA,NA,NA,2.5375,0.201157,0,0.85,0.85,21.21504402
B8DD,26.5587,34.561,1.9229,0.68,0.1,16.7100688,0.318477773,1.877920661,1.298126384,2.2275,0.443457,9.56,2.91,12.47,29.88747978
B8DS,29.3594,33.9797,1.9509,0.03,0.02,15.0272871,12.40416015,0.862086385,0.268290069,4.4715,0.768582,7.62,5.92,13.54,29.8898468
C1D200,14.8986,34.5581,1.9539,18.25,1.02,NA,NA,NA,NA,0.8655,0.258618,0.4,1.57,1.97,25.06309128
C1D500,9.0039,34.4187,2.0228,28.95,1.82,NA,NA,NA,NA,1.03875,0.165502,0.15,1.65,1.8,24.49040031
C1DD,23.2087,34.2832,1.9741,0.93,0.12,22.306945,0.137274902,2.026177555,1.170460725,4.42925,1.333599,12.45,2.69,15.14,38.70914459
C1DS,29.8372,33.3151,1.9887,0.1,0.02,1.6993771,9.224873422,0.730302479,0.16884813,4.09075,1.031471,5.83,5.15,10.98,30.05903053
C3D200,14.713,34.5516,1.9418,17.94,1.25,NA,NA,NA,NA,1.5415,0.80912,0.068,67,67.068,22.8363018
C3D500,8.3962,34.4209,2.0154,30.26,1.93,NA,NA,NA,NA,0.721,0.273596,0.04,1.88,1.92,21.90026283
C3DD,23.2928,34.2437,1.9624,4.52,0.36,22.2511621,0.241603828,3.294597651,2.002456452,3.0105,0.641519,12.44,5.05,17.49,35.10852814
C3DS,29.7238,33.2823,1.9633,0.02,0.02,2.5012551,10.01557686,0.91150535,0.287069275,3.997,1.226573,6.73,7.28,14.01,28.95535851
C5D200,14.5947,34.5475,1.9284,18.6,1.28,NA,NA,NA,NA,0.86775,0.852158,0.58,2.42,3,21.64853477
C5D500,8.6953,34.4202,1.9694,29.25,1.83,NA,NA,NA,NA,0.689,0.130996,0.04,1.88,1.92,20.78841972
C5DD,22.1478,34.3277,1.969,0.52,0.16,26.9300894,3.481291517,7.357934753,2.330543468,3.1685,1.756664,13.12,4.93,18.05,32.43442917
C5DS,30.23,33.4243,1.9478,0.38,0.04,4.2327889,7.237132839,0.933469334,0.169781599,3.62825,0.91725,8.31,5.6,13.91,30.30288887
C7D200,15.9752,34.5833,1.9111,18.52,0.95,0.5508855,NA,NA,NA,0.9235,0.048916,0.49,2.15,2.64,24.15805626
C7DD,25.335,33.9537,1.9441,0.28,0.06,17.4648212,12.36572318,5.057207394,1.165683559,3.1445,1.100331,11.1,3.59,14.69,24.07356453
C7DS,29.8955,33.3014,1.9393,0.11,0.02,6.3235729,6.907673074,0.724811483,0.155614829,5.1035,1.845659,7.53,3.94,11.47,39.40911102
E4D200,16.7495,34.6181,1.9119,12.57,0.83,NA,NA,NA,NA,1.21475,0.572447,0.36,1.35,1.71,33.92427444
E4D500,8.2742,34.4215,1.985,29.66,1.89,NA,NA,NA,NA,2.0055,0.346722,0.09,0.54,0.63,22.64340782
E4DD,24.534,34.4126,1.9238,2.3,0.19,19.0509629,0.746775468,2.448984254,0.941156729,2.87925,0.585495,6.28,2.33,8.61,23.30099106
E4DS,29.6222,33.6794,1.9377,0.15,0.03,5.8421424,9.131526488,0.856595389,0.307276141,6.043,1.083266,7,3.32,10.32,32.35293198
F2D200,14.9492,34.554,1.1195,19.64,1.02,NA,NA,NA,NA,0.883,0.585246,0.27,2.15,2.42,30.34431076
F2D500,8.5671,34.4169,1.1559,28.19,1.73,NA,NA,NA,NA,1.2195,0.240757,0.09,1.08,1.17,26.8831768
F2DD,24.6377,34.1006,1.1613,0.05,0.03,22.4811554,2.70706107,2.026177555,1.095288989,2.93175,1.921388,6.64,2.96,9.6,26.12134171
F2DS,30.0874,33.2448,1.1562,0.1,0.02,4.9974897,4.969351456,1.081726229,0.367073088,4.0445,0.733032,7.45,8.97,16.42,42.01878357
F3D200,16.7627,34.586,0.0239,16.78,0.74,NA,NA,NA,NA,1.28325,0.382002,0.18,2.96,3.14,34.30105209
F3D500,8.8205,34.4178,0.0239,28.03,1.69,NA,NA,NA,NA,0.985,0.195734,0.09,2.06,2.15,26.57409286
F3DD,27.2164,34.2233,0.024,0.04,0.03,30.5580124,6.440938407,1.076235233,1.767826189,3.26475,1.379172,11.93,6.28,18.21,25.06735802
F3DS,30.3573,33.3364,0.0237,0.05,0.02,1.8178989,6.320136493,0.812667421,0.197785679,3.7835,0.930137,8.34,5.47,13.81,45.480896
FF2D200,16.4222,34.577,1.0787,17.29,0.93,NA,NA,NA,NA,0.9635,0.588221,0.27,3.5,3.77,31.80435181
FF2D500,8.9327,34.4117,1.1617,28.38,1.3,NA,NA,NA,NA,0.6105,0.198938,0,2.87,2.87,25.52589226
FF2DD,26.7634,34.3045,1.1226,0.63,0.09,19.0337689,3.591111439,4.33239591,2.172238051,3.641,1.576892,9.87,5.02,14.89,24.09539032
FF2DS,30.2186,33.2724,0.6845,0.02,0.02,3.5970426,11.86604254,1.367258025,0.345987663,3.357,1.08704,7.18,5.56,12.74,44.09230042
FF4D200,15.8107,34.5737,1.146,18.24,0.94,NA,NA,NA,NA,0.852,0.460917,0.45,2.56,3.01,31.99277115
FF4D500,8.9859,34.4129,1.0798,28.51,1.57,NA,NA,NA,NA,0.663,0.245269,0.18,2.24,2.42,25.5625782
FF4DD,24.9399,34.2472,1.1105,3.52,0.23,20.4135832,6.342100477,8.747156762,2.543649026,1.96675,0.88141,10.86,3.05,13.91,24.33589935
FF4DS,30.1179,33.2232,1.1468,0.18,0.03,2.2344223,8.04980026,0.900523358,0.220628223,4.21925,0.879593,9.06,5.47,14.53,43.50097656
H3D200,16.2838,34.5832,1.9352,14.11,0.95,NA,NA,NA,NA,0.883,0.291516,0.54,2.51,3.05,32.16926575
H3D500,8.92,34.4216,1.9911,28.46,1.69,NA,NA,NA,NA,0.823,0.103679,0.09,0.81,0.9,26.55882835
H3DD,25.18,34.0419,1.9364,2.21,0.21,16.6031517,2.652151109,4.288467942,1.259085402,2.07125,1.15772,10.77,4.93,15.7,25.35591316
H3DS,29.9278,33.1699,1.9489,0.12,0.01,1.7481871,12.83245785,1.224492127,0.202233386,3.58075,1.045894,3.54,3.23,6.77,45.25304031
