name,Station,Depth,Eddy,PMP (mg C m-3 h-1),NPP  (mg C m-3 h-1),PMP/NPP (%)
B4DS,B4,S,Ref.,0.001593139,0.262163301,0.607689485
B5DS,B5,S,Ref.,0.001029861,0.233113527,0.441785208
B6DS,B6,S,Ref.,0.001169359,0.255919735,0.456923997
B7DS,B7,S,Ref.,0.000788373,0.281075855,0.280483981
B8DS,B8,S,Ref.,0.000610718,0.241998275,0.252364755
C1DS,C1,S,Ref.,0.00027521,0.261936486,0.105067475
C3DS,C3,S,Ref.,0.002280695,0.242815554,0.939270577
C5DS,C5,S,Ref.,0.001366389,0.241826654,0.5650281
C7DS,C7,S,Ref.,0.001611918,0.216499349,0.744537114
E4DS,E4,S,Ref.,0.002584116,0.281740626,0.917196832
A4DS,A4,S,Eddy,0.004267409,0.225258013,1.894453806
A5DS,A5,S,Eddy,0.003204788,0.209900041,1.526816219
A6DS,A6,S,Eddy,0.00322311,0.225007435,1.432445877
A7DS,A7,S,Eddy,0.002346536,0.219792068,1.067616499
F2DS,F2,S,Eddy,0.00391644,0.1929726,2.029531741
F3DS,F3,S,Eddy,0.003853853,0.197161615,1.954667201
FF2DS,FF2,S,Eddy,0.003911504,0.209328036,1.868599932
FF4DS,FF4,S,Eddy,0.007837218,0.189193567,4.142433454
H3DS,H3,S,Eddy,0.002332597,0.186644495,1.249753923
B4DD,B4,DCM,Ref.,0.004094822,0.22729222,1.801567372
B5DD,B5,DCM,Ref.,0.003074999,0.204216401,1.505755293
B6DD,B6,DCM,Ref.,0.004024532,0.200082819,2.011432933
B7DD,B7,DCM,Ref.,0.005189885,0.210670253,2.463511293
B8DD,B8,DCM,Ref.,0.002647634,0.268423299,0.986365304
C1DD,C1,DCM,Ref.,0.00552319,0.243918816,2.264355687
C3DD,C3,DCM,Ref.,0.003342739,0.157231877,2.12599323
C5DD,C5,DCM,Ref.,0.003274156,0.130429566,2.510286768
C7DD,C7,DCM,Ref.,0.004066122,0.312689702,1.300369718
E4DD,E4,DCM,Ref.,0.005861175,0.281514665,2.08201394
A4DD,A4,DCM,Eddy,0.003317419,0.244271716,1.358085646
A5DD,A5,DCM,Eddy,0.00826218,0.275550187,2.998430359
A6DD,A6,DCM,Eddy,0.007028417,0.2736063,2.568806542
A7DD,A7,DCM,Eddy,0.009406518,0.320993284,2.930440789
F2DD,F2,DCM,Eddy,0.006073684,0.206223031,2.94520143
F3DD,F3,DCM,Eddy,0.006463469,0.272815088,2.369175879
FF2DD,FF2,DCM,Eddy,0.008840925,0.269678473,3.278320502
FF4DD,FF4,DCM,Eddy,0.007920683,0.214182496,3.698100143
H3DD,H3,DCM,Eddy,0.002738561,0.565645735,0.484147712
