Sampling names,Station,Longitude£®°„E£©,Latitude £®°„N£©,Depth (m),Sampling date,Type,SLA (cm)
B4DS,B4,117.502,21.001,5,2022/9/6,Reference,21.35
B4DD,B4,117.502,21.001,75,2022/9/6,Reference,21.35
B4D200,B4,117.502,21.001,200,2022/9/6,Reference,21.35
B4D500,B4,117.502,21.001,500,2022/9/6,Reference,21.35
B5DS,B5,117.996,21.005,5,2022/9/6,Reference,28.21
B5DD,B5,117.996,21.005,97,2022/9/6,Reference,28.21
B5D200,B5,117.996,21.005,200,2022/9/6,Reference,28.21
B5D500,B5,117.996,21.005,500,2022/9/6,Reference,28.21
B6DS,B6,118.502,20.998,5,2022/9/7,Reference,27.81
B6DD,B6,118.502,20.998,75,2022/9/7,Reference,27.81
B6D200,B6,118.502,20.998,200,2022/9/7,Reference,27.81
B6D500,B6,118.502,20.998,500,2022/9/7,Reference,27.81
B7DS,B7,118.995,21.003,5,2022/9/7,Reference,17.21
B7DD,B7,118.995,21.003,80,2022/9/7,Reference,17.21
B7D200,B7,118.995,21.003,200,2022/9/7,Reference,17.21
B7D500,B7,118.995,21.003,500,2022/9/7,Reference,17.21
B8DS,B8,119.496,20.999,5,2022/9/8,Reference,14.93
B8DD,B8,119.496,20.999,85,2022/9/8,Reference,14.93
B8D200,B8,119.496,20.999,200,2022/9/8,Reference,14.93
B8D500,B8,119.496,20.999,500,2022/9/8,Reference,14.93
H3DS,H3,117.001,17.001,5,2022/9/11,Eddy,35.43
H3DD,H3,117.001,17.001,83,2022/9/11,Eddy,35.43
H3D200,H3,117.001,17.001,200,2022/9/11,Eddy,35.43
H3D500,H3,117.001,17.001,500,2022/9/11,Eddy,35.43
C5DS,C5,115.008,17.984,5,2022/9/13,Reference,11.33
C5DD,C5,115.008,17.984,81,2022/9/13,Reference,11.33
C5D200,C5,115.008,17.984,200,2022/9/13,Reference,11.33
C5D500,C5,115.008,17.984,500,2022/9/13,Reference,11.33
C7DS,C7,115.01,16.996,5,2022/9/13,Reference,17.69
C7DD,C7,115.01,16.996,75,2022/9/13,Reference,17.69
C7D200,C7,115.01,16.996,200,2022/9/13,Reference,17.69
C1DS,C1,115,19.999,5,2022/9/14,Reference,17.45
C1DD,C1,115,19.999,81,2022/9/14,Reference,17.45
C1D200,C1,115,19.999,200,2022/9/14,Reference,17.45
C1D500,C1,115,19.999,500,2022/9/14,Reference,17.45
C3DS,C3,115.005,19.002,5,2022/9/14,Reference,20.07
C3DD,C3,115.005,19.002,75,2022/9/14,Reference,20.07
C3D200,C3,115.005,19.002,200,2022/9/14,Reference,20.07
C3D500,C3,115.005,19.002,500,2022/9/14,Reference,20.07
E4DS,E4,118.002,20.001,5,2022/9/19,Reference,24.34
E4DD,E4,118.002,20.001,92,2022/9/19,Reference,24.34
E4D200,E4,118.002,20.001,200,2022/9/19,Reference,24.34
E4D500,E4,118.002,20.001,500,2022/9/19,Reference,24.34
A4DS,A4,117.005,19.993,5,2022/9/21,Eddy,32.04
A4DD,A4,117.005,19.993,92,2022/9/21,Eddy,32.04
A4D200,A4,117.005,19.993,200,2022/9/21,Eddy,32.04
A4D500,A4,117.005,19.993,500,2022/9/21,Eddy,32.04
A5DS,A5,117.321,19.656,5,2022/9/22,Eddy,37.49
A5DD,A5,117.321,19.656,85,2022/9/22,Eddy,37.49
A5D200,A5,117.321,19.656,200,2022/9/22,Eddy,37.49
A5D500,A5,117.321,19.656,500,2022/9/22,Eddy,37.49
A6DS,A6,117.666,19.326,5,2022/9/22,Eddy,39.18
A6DD,A6,117.663,19.329,75,2022/9/22,Eddy,39.18
A6D200,A6,117.666,19.326,200,2022/9/22,Eddy,39.18
A6D500,A6,117.663,19.329,500,2022/9/22,Eddy,39.18
A7DS,A7,117.998,18.999,5,2022/9/22,Eddy,32.46
A7DD,A7,117.998,18.999,95,2022/9/22,Eddy,32.46
A7D200,A7,117.998,18.999,200,2022/9/22,Eddy,32.46
A7D500,A7,117.998,18.999,500,2022/9/22,Eddy,32.46
F3DS,F3,117.001,18.751,5,2022/9/23,Eddy,46.17
F3DD,F3,117.001,18.751,75,2022/9/23,Eddy,46.17
F3D200,F3,117.001,18.751,200,2022/9/23,Eddy,46.17
F3D500,F3,117.001,18.751,500,2022/9/23,Eddy,46.17
FF2DS,FF2,116.666,18.834,5,2022/9/23,Eddy,46.86
FF2DD,FF2,116.666,18.834,75,2022/9/23,Eddy,46.86
FF2D200,FF2,116.666,18.834,200,2022/9/23,Eddy,46.86
FF2D500,FF2,116.666,18.834,500,2022/9/23,Eddy,46.86
F2DS,F2,116,19.001,5,2022/9/24,Eddy,33.25
F2DD,F2,116,19.001,75,2022/9/24,Eddy,33.25
F2D200,F2,116,19.001,200,2022/9/24,Eddy,33.25
F2D500,F2,116,19.001,500,2022/9/24,Eddy,33.25
FF4DS,FF4,116.336,18.917,5,2022/9/24,Eddy,43.83
FF4DD,FF4,116.336,18.917,75,2022/9/24,Eddy,43.83
FF4D200,FF4,116.336,18.917,200,2022/9/24,Eddy,43.83
FF4D500,FF4,116.336,18.917,500,2022/9/24,Eddy,43.83
